Region,Agriculture,Mining,Manufacturing,Power,Sewer,Construction,Vehicles,Transportation,Hotels,IT,Finance,Real Estate,Professional,Administrative,Pubic Sector,Education,Health,Entertainment,Membership Orgs,Other Goods,Overseas,Population
1,0.6666666666666666,0.023809523809523808,0.0,0.09523809523809523,0.0,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0,177
1,0.3877551020408163,0.08163265306122448,0.02040816326530612,0.0,0.0,0.061224489795918366,0.20408163265306123,0.061224489795918366,0.04081632653061224,0.0,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0,203
1,0.1396103896103896,0.18181818181818182,0.012987012987012988,0.006493506493506494,0.003246753246753247,0.10714285714285714,0.11688311688311688,0.07467532467532467,0.00974025974025974,0.003246753246753247,0.0,0.0,0.0,0.022727272727272728,0.08116883116883117,0.11038961038961038,0.05519480519480519,0.0,0.003246753246753247,0.07142857142857142,0,1254
1,0.06598984771573604,0.08121827411167512,0.025380710659898477,0.030456852791878174,0.0,0.07614213197969544,0.116751269035533,0.07614213197969544,0.025380710659898477,0.01015228426395939,0.0,0.0,0.0,0.015228426395939087,0.18274111675126903,0.15736040609137056,0.09644670050761421,0.0,0.005076142131979695,0.03553299492385787,0,569
1,0.1111111111111111,0.19923371647509577,0.02681992337164751,0.0038314176245210726,0.0038314176245210726,0.05747126436781609,0.14942528735632185,0.08045977011494253,0.022988505747126436,0.0,0.0038314176245210726,0.0,0.0038314176245210726,0.019157088122605363,0.12643678160919541,0.07662835249042145,0.06896551724137931,0.0,0.011494252873563218,0.034482758620689655,0,935
1,0.11162790697674418,0.20465116279069767,0.023255813953488372,0.0,0.009302325581395349,0.08837209302325581,0.13953488372093023,0.08837209302325581,0.03255813953488372,0.004651162790697674,0.009302325581395349,0.0,0.004651162790697674,0.018604651162790697,0.07441860465116279,0.10232558139534884,0.046511627906976744,0.0,0.027906976744186046,0.013953488372093023,0,723
1,0.21794871794871795,0.3076923076923077,0.01282051282051282,0.0,0.0,0.1282051282051282,0.038461538461538464,0.02564102564102564,0.07692307692307693,0.0,0.0,0.0,0.0,0.01282051282051282,0.0641025641025641,0.02564102564102564,0.0,0.0,0.038461538461538464,0.05128205128205128,0,337
1,0.35526315789473684,0.3684210526315789,0.013157894736842105,0.0,0.0,0.05263157894736842,0.05263157894736842,0.03289473684210526,0.006578947368421052,0.0,0.0,0.0,0.003289473684210526,0.003289473684210526,0.019736842105263157,0.08223684210526316,0.003289473684210526,0.0,0.006578947368421052,0.0,0,1220
1,0.6875,0.10416666666666667,0.020833333333333332,0.0,0.0,0.020833333333333332,0.041666666666666664,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0625,0.020833333333333332,0.0,0.0,0.0,0,218
1,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0,70
